"","Torque","Speed","Angle"
"1",-7.377,15.231,-53.496
"2",-7.377,14.841,-53.438
"3",-7.377,15.231,-53.378
"4",-6.889,14.841,-53.321
"5",-7.377,14.841,-53.263
"6",-7.377,15.231,-53.203
"7",-7.377,14.841,-53.145
"8",-7.377,14.841,-53.087
"9",-7.377,15.231,-53.028
"10",-7.377,14.841,-52.97
"11",-7.377,15.231,-52.91
"12",-6.889,14.841,-52.852
"13",-6.889,14.841,-52.794
"14",-6.889,14.841,-52.736
"15",-6.889,15.231,-52.677
"16",-6.889,14.841,-52.619
"17",-7.377,15.231,-52.559
"18",-7.377,14.841,-52.501
"19",-7.133,14.841,-52.443
"20",-7.377,15.231,-52.384
"21",-7.377,14.841,-52.326
"22",-6.889,14.841,-52.268
"23",-7.133,15.231,-52.208
"24",-7.133,14.841,-52.15
"25",-7.133,15.231,-52.091
"26",-7.133,14.841,-52.033
"27",-7.621,14.841,-51.975
"28",-7.133,15.231,-51.915
"29",-7.133,14.45,-51.859
"30",-7.621,15.231,-51.8
"31",-7.377,15.231,-51.74
"32",-7.377,14.841,-51.682
"33",-7.621,15.231,-51.623
"34",-8.354,14.841,-51.565
"35",-7.621,14.841,-51.507
"36",-7.866,14.841,-51.449
"37",-7.866,15.231,-51.389
"38",-7.621,15.231,-51.33
"39",-7.621,14.841,-51.272
"40",-7.621,15.231,-51.212
"41",-7.621,14.841,-51.154
"42",-7.621,14.841,-51.096
"43",-8.11,14.841,-51.038
"44",-8.11,15.231,-50.979
"45",-8.11,14.45,-50.922
"46",-7.621,15.231,-50.863
"47",-8.11,15.231,-50.803
"48",-8.11,14.841,-50.745
"49",-7.866,15.231,-50.686
"50",-7.377,14.841,-50.628
"51",-7.621,14.841,-50.57
"52",-7.866,14.841,-50.512
"53",-8.11,15.231,-50.452
"54",-7.866,15.231,-50.393
"55",-7.866,14.841,-50.335
"56",-7.866,14.841,-50.277
"57",-7.377,14.841,-50.219
"58",-7.621,15.231,-50.16
"59",-7.621,14.841,-50.102
"60",-7.377,15.231,-50.042
"61",-7.621,14.841,-49.984
"62",-7.866,14.841,-49.926
"63",-7.621,15.231,-49.867
"64",-8.11,14.841,-49.809
"65",-8.11,15.231,-49.749
"66",-8.11,14.841,-49.691
"67",-7.866,14.841,-49.633
"68",-7.621,15.231,-49.574
"69",-7.621,14.841,-49.516
"70",-7.866,14.841,-49.458
"71",-8.11,15.231,-49.398
"72",-7.866,14.841,-49.34
"73",-7.866,15.231,-49.281
"74",-8.11,14.841,-49.223
"75",-8.354,14.841,-49.165
"76",-8.354,14.841,-49.107
"77",-8.354,15.231,-49.047
"78",-8.11,15.231,-48.988
"79",-8.354,14.841,-48.93
"80",-8.354,14.841,-48.872
"81",-8.598,15.231,-48.813
"82",-8.11,14.841,-48.755
"83",-8.11,14.841,-48.697
"84",-8.598,15.231,-48.637
